기능,URL,method,request,response,담당자,도메인,진행상황
소셜 로그인,/api/v1/auth/login/{provider},POST,,,,Auth,완료
인증 토큰 재발급,/api/v1/auth/refresh,POST,,,,Auth,완료
로그아웃,/api/v1/auth/logout,POST,,,,Auth,완료
회원 탈퇴,/api/v1/auth/withdraw,DELETE,,,,Auth,완료
게스트 세션 발급,/api/v1/auth/guest,POST,,,,Auth,완료
회원가입,/api/v1/auth/signup,POST,"{
""email"": ""mailto:user@example.com"",
""password"": ""Password123!""
}",,,Auth,완료
로그인,/api/v1/auth/login,POST,,,,Auth,완료
닉네임 중복 확인,/api/v1/users/nickname/check?nickname={nickname},GET,,,,User,완료
내 정보 조회,/api/v1/users/{user_id},GET,,,,User,완료
내 정보 수정,/api/v1/users/{user_id},PATCH,,,,User,완료
초대방 생성,/api/v1/waiting-rooms,POST,,,,WaitingRoom,완료
초대방 입장,/api/v1/waiting-rooms/join,POST,,,,WaitingRoom,완료
대기방 퇴장,/api/v1/rooms/{roomId}/leave,PATCH,,,,WaitingRoom,진행 중
[WS] 대기방 상태 수신,/ws/v1/waiting-rooms/{roomId},S→C,,,,WaitingRoom,시작 전
[WS] 준비 상태 변경,/ws/v1/waiting-rooms,C→S,,,,WaitingRoom,시작 전
[WS] 게임 시작 요청,/ws/v1/waiting-rooms/{roomId},C→S,,,,WaitingRoom,시작 전
랜덤 매칭 신청,/api/v1/match/join,POST,,,,Matchmaking,완료
랜덤 매칭 취소,/api/v1/match/cancel,DELETE,,,,Matchmaking,완료
[WS] 랜덤 매칭 결과 수신,/ws/match,S→C,,,,Matchmaking,완료
게임 목록 조회,/api/v1/games,GET,,,,Game,완료
게임 상세 조회,/api/v1/games/{gameId},GET,,,,Game,완료
게임 결과 제출,/api/v1/game-results,POST,,,,GameResult,완료
내 경기 기록 목록 조회,/api/v1/game-results/me,GET,,,,GameResult,완료
내 경기 기록 상세 조회,/api/v1/game-results/{gameResultId},GET,,,,GameResult,완료
내 게임별 전적 조회,/api/v1/game-results/me/stats,GET,,,,GameResult,완료
[WS] 인게임 실시간 소켓,/ws/game/{gameId},C↔S,,,,InGame,시작 전
랭킹 조회(홈 요약),/api/v1/rankings,GET,,,,Ranking,시작 전
소모임 생성,/api/v1/groups,POST,,,,Group,시작 전
소모임 코드 입장,/api/v1/groups/join,POST,,,,Group,시작 전
내 소모임 조회,/api/v1/groups/me,GET,,,,Group,시작 전
소모임 상세 조회,/api/v1/groups/{groupId},GET,,,,Group,시작 전
비밀번호 변경,/api/vi/users/{user_id}/password,POST,,,,User,완료
소모임 목록 검색,/api/v1/groups?keyword={kw}&page={p}&size={s},GET,,,,Group,시작 전
,,,,,,,
소모임 삭제,/api/v1/groups/{groupId},DELETE,,,,Group,시작 전
소모임 나가기,/api/v1/groups/{groupId}/leave,POST,,,,Group,시작 전
소모임 멤버 강퇴,/api/v1/groups/{groupId}/members/{userId},DELETE,,,,Group,시작 전
게임별 랭킹 조회,/api/v1/rankings/{gameName},GET,,,,Ranking,시작 전
소모임 후기 목록 조회,/api/v1/groups/{groupId}/posts,GET,,,,Group,시작 전
소모임 후기 작성,/api/v1/groups/{groupId}/posts,POST,,,,Group,시작 전
소모임 댓글 작성,/api/v1/groups/{groupId}/posts/{postId}/comments,POST,,,,Group,시작 전
